Race,Age,Is English your native language?,Gender,What hand do you use to write with?,How the participant came to the test - based on HTTP Referer,Participant's technical location - ISO country code,Individual Extraversion Score,Individual Neuroticism Score,Individual Agreeableness Score,Individual Conscientiousness Score,Individual Openness Score
Mixed Race,13,Yes,Female,Both,Other source,United States,4.5,2.6,4.9,4.2,4.5
Mixed Race,13,Yes,Female,Right,Other source,United States,4.9,1.6,4,2.1,3.1
Mixed Race,13,Yes,Female,Right,Other source,United States,3.9,2.6,3.8,3.9,3.3
Mixed Race,13,Yes,Male,Right,Other source,United States,4.8,1.4,4.6,5,5
Mixed Race,13,Yes,Male,Right,Other source,United States,4.9,1.5,3,3,3.2
Mixed Race,13,Yes,Male,Right,Other source,United States,5,1.4,5,5,5
Mixed Race,13,Yes,Female,Right,From Google,Canada,2.1,2.4,3.4,3.5,3.6
Mixed Race,13,Yes,Female,Right,From Google,United States,3.3,2.3,3.6,4.2,4.9
Mixed Race,13,Yes,Male,Right,From Google,United States,4.2,2.6,4.1,3.7,3.1
Mixed Race,13,Yes,Female,Left,From another page on the test website,United States,1.8,3,3.9,2.8,4.3
Mixed Race,13,No,Female,Right,From another page on the test website,United States,3.8,3.3,3.8,3.3,3.5
Mixed Race,13,Yes,Female,Right,From another page on the test website,Australia,3.6,3.5,4.3,3.4,4.3
Mixed Race,13,Yes,Female,Right,From another page on the test website,Australia,2.1,3.1,3.6,2.8,3.6
Mixed Race,13,Yes,Female,Right,From another page on the test website,Germany,1.3,4.5,2.9,2.3,3.8
Mixed Race,13,Yes,Female,Right,From another page on the test website,Malaysia,3.8,1,4.1,4,4.8
Mixed Race,13,Yes,Female,Right,From another page on the test website,Malaysia,2.1,2.6,4.1,2.5,3.9
Mixed Race,13,Yes,Female,Right,From another page on the test website,United States,2.1,3.6,3.7,4.5,4
Mixed Race,13,Yes,Female,Right,From another page on the test website,United States,3,3.7,4,2.8,4.1
Mixed Race,13,Yes,Female,Right,From another page on the test website,United States,2.3,2.9,3,4,4.6
Mixed Race,13,Yes,Female,Right,From another page on the test website,United States,3.3,3.1,2.6,2.8,3.5
Mixed Race,13,Yes,Female,Right,From another page on the test website,United States,1.6,4.4,2.9,2.3,3
Mixed Race,13,Yes,Female,Right,From another page on the test website,Zambia,3,3.7,3.4,2.9,4.2
Mixed Race,13,No,Male,Right,From another page on the test website,Czech Republic,4,2.6,3.6,2.7,4
Mixed Race,13,No,Male,Right,From another page on the test website,United States,3,3.8,3,2.6,4
Mixed Race,13,Yes,Male,Right,From another page on the test website,United Kingdom,2.4,2.3,1.5,4.7,4.6
Mixed Race,13,Yes,Male,Right,From another page on the test website,United States,1.8,4.8,2.2,3,3.8
Mixed Race,13,Yes,Male,Right,From another page on the test website,United States,2.2,4.2,3.2,3.6,4.3
Mixed Race,13,Yes,Male,Right,From another page on the test website,United States,4.6,2.1,4.5,3.1,4.4
Mixed Race,13,Yes,Male,Right,From another page on the test website,United States,3.5,2.2,3.7,3.2,4.2
Caucasian (European),13,Yes,Female,Right,Other source,Canada,2.8,2.2,3.8,3.8,4.8
Caucasian (European),13,Yes,Female,Right,Other source,United Kingdom,2.7,4.1,3.3,2.6,2.7
Caucasian (European),13,Yes,Female,Right,Other source,United States,3.3,2.9,3.3,3.2,2.9
Caucasian (European),13,Yes,Female,Right,Other source,United States,4.3,3.7,4,2,1.7
Caucasian (European),13,Yes,Female,Right,Other source,United States,2.7,2.6,3.7,4,3.2
Caucasian (European),13,Yes,Male,Left,Other source,United Kingdom,3.6,3.3,1.7,2.1,2.2
